food_id,alimento,agua,alcohol,calcio,carbohidratos,colesterol,equivalentes_de_niacina_totales,fibra_dietetica_total,folato_total,fósforo,grasa_total,hierro_total,ioduro,magnesio,potasio,proteina_total,riboflavina,selenio_total,sodio,tiamina,viamina_e_equivalentes_de_alfa_tocoferol_de_actividades_de_vitámeros_e,vitamina_a_equivalentes_de_retinol_de_actividades_de_retinos_y_carotenoides,vitamina_b12,vitamina_b6_total,vitamina_c,vitamina_d,zinc,ácido_graso_120,ácido_graso_140,ácido_graso_160,ácido_graso_180,ácido_graso_181_n9_cis,ácido_graso_182,ácido_graso_183,ácido_graso_204_n6,ácido_graso_205,ácido_graso_226_n3,ácidos_grasos_monoinsaturados_totales,ácidos_grasos_poliinsaturados_totales,ácidos_grasos_saturados_totales,energia_kj,energia_kcal
2361,Ajo,70.4,0.0,17.8,24.3,0.0,0.27,1.2,4.8,134.0,0.23,1.2,4.7,24.1,446.0,3.9375,0.02,0.5,19.0,0.16,0.1,0.0,0.0,0.32,14.0,0.0,1.1,,,,,,,,,,,0.03,0.1,0.05,489.0,117.0
2362,"Ajo, frito",64.3,0.0,18.62,15.97,0.0,1.87,1.55,3.25,166.6,0.59,1.86,2.94,24.5,607.6,7.7,0.03,1.96,3.82,0.1,0.01,0.29,0.0,0.29,11.48,0.0,0.98,,,,,,,,,,,0.03,0.3,0.1,424.0,102.0
2363,Alcachofas en conserva,86.3,0.0,44.0,1.2,0.0,0.9,9.4,47.0,50.0,0.16,1.0,0.4,27.0,300.0,2.9,0.04,0.2,15.0,0.05,0.2,15.0,0.0,0.09,6.0,0.0,0.1,,,,,,,,,,,0.005,0.068,0.037,76.0,18.0
2364,Alcaparra,85.16,0.0,40.0,2.1,0.0,0.652,1.5,23.0,10.0,0.86,1.67,,33.0,40.0,2.36,0.139,1.2,2964.0,0.018,0.88,13.8,0.0,0.023,4.3,0.0,0.32,,,,,,,,,,,0.063,0.304,0.233,108.0,26.0
2366,"Apio, crudo",94.4,0.0,52.0,1.5,0.0,0.4,2.0,18.0,32.0,0.1,0.5,0.0,14.0,305.0,0.9,0.04,0.4,110.0,0.05,0.2,95.0,0.0,0.1,8.0,0.0,0.1,,,,,,,,,,,0.0,0.0,0.0,45.0,11.0
2368,Arandano,87.8,0.0,10.0,6.05,0.0,0.09,4.9,10.0,13.0,0.6,0.74,1.0,2.4,78.0,0.625,0.02,0.1,1.0,0.02,1.921,5.7,0.0,0.06,22.0,0.0,0.131,,,,,,,,,,,0.0,0.0,0.0,136.0,33.0
2369,"Bambú, crudo",91.0,0.0,13.0,5.2,0.0,0.6,2.2,7.0,59.0,0.3,0.5,,3.0,533.0,2.6,0.07,0.8,4.0,0.15,1.0,6.0,0.0,0.24,4.0,0.0,1.1,,,,,,,,,,,0.007,0.134,0.069,144.0,34.0
2370,Berenjena,92.2,0.0,10.0,3.8,0.0,0.6,2.4,19.0,21.0,0.2,0.3,0.0,13.0,262.0,0.7,0.03,0.4,3.0,0.04,0.03,8.0,0.0,0.1,4.0,0.0,0.1,,,,,,,,,,,0.0,0.09,0.0,84.0,20.0
2371,Borraja,94.4,0.0,93.0,3.06,0.0,,,13.0,53.0,0.7,3.3,,52.0,470.0,1.8,0.15,0.9,80.0,0.06,,210.0,0.0,0.084,35.0,13.0,0.2,,,,,,,,,,,0.211,0.109,0.17,109.0,26.0
2372,"Brécol, hervido",91.1,0.0,40.0,1.1,0.0,1.3,0.65,64.0,57.0,0.8,1.0,2.0,13.0,170.0,3.1,0.05,0.0,13.0,0.05,1.1,75.0,0.0,0.11,44.0,0.0,0.4,,,,,,,,,,,0.1,0.4,0.2,101.0,24.0
